,0
0,"24251357 | silibinin | The present study was to investigate the effects of giving N-acetylcysteine (NAC) alone and in combination with either glycyrrhizin (GL), silibinin (SIB) or spironolactone (SL) on the plasma pharmacokinetic (PK) profiles, hepatic exposure, biliary excretion and urinary excretion of acetaminophen (APAP) and its major metabolite, acetaminophen glucuronide (AG)."
1,"8640239 | silibinin | The specific hepatoprotective action of silibinin against the toxicity of ethanol, phenylhydrazine and acetaminophen is also discussed."
2,8640239 | silibinin | It is suggested that the biochemical effects observed for the flavonoid in experimental models may settle the basis for understanding the pharmacological action of silymarin and silibinin.
3,"22285229 | mfa | Synergistic action of the MF and CLEA-Lac during operation achieved eliminations from aqueous solution of around 99%, nearly 100% and up to 85% for ACT, MFA and CBZ, respectively."
4,"24793595 | cinnamon | By means of NMR and LC/MS we found 863mg acetaminophen, 262mg sulfamethoxazole, 42mg indomethacin and less than 1% trimethoprim in a sachet of 2.617g powder content, in addition to some cinnamon bark and phosphate."
5,"28359199 | cymbopogon citratus | To investigate the hepatoprotective effect of Cymbopogon citratus or lemongrass essential oil (LGO), it was used in an animal model of acute liver injury induced by acetaminophen (APAP)."
6,"22011590 | tallow | We evaluated the effect of dietary corn oil (CO), olive oil (OO), and beef tallow (BT) on fatty acid composition of liver microsomal membrane and acute acetaminophen hepatotoxicity."
7,"25660481 | inosine | Canine hepatocytes were harvested and cell viability of clove-leaf oil (CLO), eugenol (EUG), lemongrass oil (LGO), guanosine monophosphate (GMP), inosine monophosphate (IMP), sorbose, ginger-root extract (GRE), cinnamon-bark oil (CBO), cinnamaldehyde (CINA), thymol oil (TO), thymol (THYM), and citric acid were assessed with positive controls: acetaminophen (APAP), aflatoxin B1 and xylitol."
8,"11031781 | allium | S-Allylmercaptocysteine (SAMC), one of the water-soluble organosulfur compounds in ethanol extracts of garlic (Allium sativum L.), has been shown to protect mice against acetaminophen (APAP)-induced liver injury."
9,"15916450 | allium | Allium sativum (garlic) decreased the area under the plasma concentration-time curve (AUC) and maximum plasma concentration of saquinavir, but not ritonavir and paracetamol (acetaminophen), in volunteers."
10,"11534764 | tyramine | Using p-nitrophenyl sulfate (PNS) as a donor substrate, alpha-naphthol was found to be the best acceptor substrate, followed by phenol, resorcinol, p-acetaminophen, tyramine and tyrosine."
11,"6939511 | tyramine | There was a significant correlation between the formation of MHPG sulfate by individual platelet preparations and the formation of sulfated product with each of the following substrates: tyramine (r = 0.92, n = 21); dopamine (r = 0.82, n = 16); 5-hydroxytryptamine (r = 0.94, n = 20); acetaminophen (r = 0.77, n = 17); and alphamethyldopa (r = 0.77, n = 17) (p less than 0.001 for each)."
12,"10600454 | tyramine | For PNS, alpha-naphthol is the best acceptor substrate, followed by phenol, resorcinol, p-acetaminophen, tyramine, and tyrosine."
13,"11379783 | tyramine | Using p-nitrophenyl sulfate (PNS) as a donor substrate, phenol is the best acceptor substrate, followed by alpha-naphthol, resorcinol, tyramine, acetaminophen, and tyrosine."
14,"15049342 | hydroxylamine | Cytotoxicity was assessed 24 hr after a 3 hr exposure to iodoacetamide, tert-butylhydrogenperoxide, menadione, or sulfamethoxazole hydroxylamine, or after a 2 hr exposure to N-acetyl-p-benzoquinoneimine, the reactive metabolite of acetaminophen."
15,"2983185 | hydroxylamine | The results indicate that for both p-hydroxyaniline and acetaminophen, a recently proposed peroxidase-like mechanism leading directly to p-benzoquinoneimines via radical intermediates is thermodynamically favored over N-hydroxylamine formation by H abstraction or addition rearrangement."
16,"23454338 | d-mannose | Excess saccharides including D-galactose, D-fructose, D-cellbiose, L-arabinose and D-sucrose, D-maltose, D-mannose and D-xylose as well as common interfering substances (acetaminophen, ascorbic acid and uric acid) did not affect the detection of D-glucose (0.1mM)."
17,"25119859 | procyanidin | In the present study, we investigated the role of almond (Prunus amygdalus) skin procyanidins (ASP) in regulating the protein expression of phase II detoxifying and antioxidant enzymes in HepG2 cells and acetaminophen (APAP)-treated hepatotoxic mice."
18,"24458977 | fennel | Together with previous findings, the presented in vitro data for CYP2E1 inhibition suggest that fennel and raspberry leaf have a significant potential of inhibiting all the major metabolic pathways for acetaminophen oxidation and NAPQI formation."
19,"21984979 | pulses | Here, we present electrochemical O-dealkylation of phenacetin to acetaminophen by square-wave potential pulses consisting of consecutive sub-second oxidation and reduction steps."
20,28006746 | anethole | The aim of this study is to investigate the effect of trans anethole on some inflammatory parameters that are involved in hepatotoxicity induced by high doses of acetaminophen.
21,"7476370 | anethole | Anethol dithiolthione (ADT), usually prescribed as a choleretic drug, when given orally 1 hour prior to acetaminophen (AAP) (450 mg/kg intraperitoneally) in Swiss female mice, exhibited an hepatoprotective potency at doses as low as 10 mg/kg relative to serum aminotransferase activities and hepatic glutathione related enzyme system (glutathione reductase, peroxidase, transferase)."
22,"1134883 | d-glucaric acid | Tweleve healthy 2- to 3-day-old full-term infants with plasma bilirubin concentrations of 1.0 to 11.6 mg/100 ml and D-glucaric acid excretion rates of 0.131 to 0.345 mg/kg/day received a single oral dose of acetaminophen, 12 mg/kg."
23,"1134883 | d-glucaric acid | Urine was collected serially for 48 hours and analyzed for acetaminophen, acetaminophen glucuronide, acetaminophen sulfate, and D-glucaric acid."
24,"26404304 | methylglyoxal | This feature article focuses on the recent design and use of carbon nanomaterials, primarily single-walled carbon nanotubes (SWCNTs), reduced graphene oxide (rGO), SWCNTs-rGO, Au nanoparticle-rGO nanocomposites, and buckypaper as sensing materials for the electrochemical detection of some representative biological and pharmaceutical compounds such as methylglyoxal, acetaminophen, valacyclovir, -nicotinamide adenine dinucleotide hydrate (NADH), and glucose."
25,"16797510 | liquorice | In addition, protective effects of GSH, liquorice extract and glycyrrhizic acid against acetaminophen hepatotoxicity were clearly observed in gel entrapped hepatocytes but not in hepatocyte monolayer at an incubation time of 48 h. Overall, gel entrapped hepatocytes showed higher sensitivities to acetaminophen-induced hepatotoxicity than hepatocyte monolayer by a mechanism that higher CYP 2E1 activities of gel entrapped hepatocytes could induce more severe acetaminophen toxicity."
26,"14757501 | alpha-lactose | The studied formulation was: acetaminophen 15%, alpha-lactose monohydrate 30%, cornstarch 45%, polyvinylpyrrolidone K30 5% and orange flavour 5% (w/w)."
27,"28031152 | sunflower | C57BL/6 male mice were divided into the following groups: control (C); sunflower oil (CO); acetaminophen 500mg/kg (APAP); acetaminophen 500mg/kg+lycopene 10mg/kg (APAP+L10), and acetaminophen 500mg/kg+lycopene 100mg/kg (APAP+L100)."
28,"23878731 | l-serine | Compounds including L-phenylalanine, L-serine, L-valine, urea, 4-acetaminophen, gallic acid and L-ascorbic acid were analyzed using both sources."
