,0
0,"22609163 | 1-dodecanol | Using 1-dodecanol as the organic solvent and acetone as the disperser, recoveries exceeding 90% and a relative standard deviation of 2.87% were obtained for 5 replicated analyses of curcumin by an HPLC method."
1,"26683377 | dimethyl succinate | Dimethyl succinate, the inactive analog of DMF that lacks the electrophilic double bond of fumarate, is unable to inhibit NFB activity."
2,"26260436 | neferine | After Caco-2 cells were treated with norcoclaurine, liensinine, isoliensinine or neferine for 3, 6 and 12 h, samples were collected, purified and then analyzed by LC/MS/MS."
3,"11016870 | selenate | We investigated the effects of three different antioxidants with carcinostatic property: trans-resveratrol, Trolox a water-soluble analog of vitamin E, and inorganic selenocompounds (sodium selenite and selenate) on blood platelet adhesion to fibrinogen (Fg)."
4,"12580518 | laudanine | Interactions with the sulfated-cyclodextrin differed for each analyte, with oripavine exhibiting the strongest interaction and 10-thebaine and laudanine showing the weakest interactions."
5,"8555446 | 1-aminocyclopropane-1-carboxylate | By sequence analysis four cDNAs could be identified as 1-aminocyclopropane-1-carboxylate-oxidase and as three different pathogenesis-related proteins (PR-1b, PR-Q and SAR 8.2)."
6,"12785729 | 5-hydroxy-7,8-dimethoxyflavonol | The compounds isolated from EFMS were elucidated to be ursolic acid (1), 5-hydroxy-6,7-dimethoxyflavone (2), 5-hydroxy-7,8-dimethoxyflavone (3), apigenin (4) and acacetin (5) based on their spectral analysis."
7,"12479975 | ginsenoside rf | In the present study, the effect of ginsenoside Rf (Rf), a trace component of Panax ginseng on U-50,488H (U50), a selective kappa opioid-induced analgesia and its tolerance to analgesia was studied using the mice tail-flick test."
8,"12479975 | ginsenoside rf | In conclusion, these findings for the first time demonstrated that ginsenoside Rf potentiates U50-induced analgesia, inhibits tolerance to its analgesia, and suggests that Rf affects U50-induced analgesia via non-opioid, non-dihydropyridine-sensitive Ca(+2) and non-benzodiazepine-GABA(A)ergic mechanisms in mice."
9,"26168711 | madecassoside | The active principles in EXT were identified as madecassoside, asiaticoside, and asiatic acid by HPLC analysis."
10,"20565114 | dethiobiotin | To this end, we have determined the crystal structures of the second and third enzymes of the Mtb biotin biosynthetic pathway, 7,8-diaminopelargonic acid synthase (DAPAS) and dethiobiotin synthetase (DTBS), at respective resolutions of 2.2 and 1.85 A. Superimposition of the DAPAS structures bound either to the SAM analogue sinefungin or to 7-keto-8-aminopelargonic acid (KAPA) allowed us to map the putative binding site for the substrates and to propose a mechanism by which the enzyme accommodates their disparate structures."
11,"23868375 | polydextrose | The aim of our study was to analyze metabolite alterations after supplementation of BET, polydextrose (PDX, a soluble dietary fiber), or their combination (BET PDX) via drinking water to C57BL/6J mice fed a high-fat (HF) diet."
12,"25138383 | cuscohygrine | Hair samples from 26 Argentinean coca chewers and 22 German cocaine users were analysed for cocaine (COC), norcocaine (NC), benzoylecgonine (BE), ecgonine methyl ester (EME), cocaethylene (CE), cinnamoylcocaine (CIN), tropacocaine (TRO), cuscohygrine (CUS) and hygrine (HYG) by hydrophilic interaction liquid chromatography (HILIC) in combination with triplequad mass spectrometry (MS/MS) and hybrid quadrupole time-of-flight mass spectrometry (QTOF-MS)."
13,"21954887 | arabinan | MALDI-TOF/TOF-MS analysis confirmed that the sugar beet arabinans were feruloyl-substituted, and HPLC analysis verified that the amounts of diFAs increased when FA levels decreased as a result of the enzymatic oxidation treatment with HRP and H(2)O(2)."
14,"19231884 | adouetine x | The analgesic potential of six 14-membered-ring cyclopeptide alkaloids, namely, franganine (1), discarine B (2), scutianines B (3), C (4), and D (5), and adouetine X (6), have been investigated."
15,"19231884 | adouetine x | Thus, the present findings have demonstrated that adouetine X (6) is a promising analgesic agent."
16,"23519259 | trans-p-mentha-1(7),8-dien-2-ol | The essential oil of I. pachyphyllum fruits was obtained by hydrodistillation and analyzed by GC-MS. A total of 36 components of the essential oil were identified, with the principal compounds in the essential oil being trans--mentha-1(7),8-dien-2-ol (24.56%), D-limonene (9.79%), caryophyllene oxide (9.32%), and cis-carveol (5.26%) followed by -caryophyllene (4.63%) and bornyl acetate."
17,"25099990 | macelignan | Reaction phenotyping, the relative activity factor (RAF) approach and activity correlation analysis were employed to identify the main UGT enzymes contributing to the hepatic metabolism of macelignan."
18,"18556200 | (s)-higenamine | Optically active tetrahydroisoquinoline alkaloids, (R)-(+)-higenamine (1R) and (S)-(-)-higenamine (1 S), and their optically active 1-naphthylmethyl analogues (2 and 3), were synthesized by enantioselective hydrogenation of the corresponding dihydroisoquinoline intermediates 7 as a key step."
19,"9500122 | magnoflorine | Two rapid and simple HPLC methods with UV detector to determine three main compounds (magnoflorine, spinosin and 6'''-feruloyl spinosin) and evaporative light scattering detector (ELSD) to determine jujuboside A were developed for the chemical analyses of Zizyphi Semen."
