,0
0,"2864430 | pyridoxamine | Pyridoxamine inhibits rabbit and pig plasma benzylamine oxidase (BAO), the diamine oxidase of pig kidney and the lysyloxidase of pig aorta in-vitro."
1,"25915461 | salvigenin | In the present study, four Sideritis flavonoids, xanthomicrol (1), isoscutellarein 7-O-[6'''-O-acetyl--D-allopyranosyl-(12)]--D-glucopyranoside (2), isoscutellarein 7-O-[6'''-O-acetyl--D-allopyranosyl-(12)]-6''-O-acetyl--D-glucopyranoside (3) and salvigenin (4) were docked computationally into the active site of the human monoamine oxidase isoforms (hMAO-A and hMAO-B) and were also investigated for their hMAO inhibitory potencies using recombinant hMAO isoenzymes."
2,1294893 | dehydroepiandrosterone | To evaluate the acute effect of dehydroepiandrosterone (DHEA) on monoamine oxidase (MAO) activity in the corpus striatum (CS) and the nucleus accumbens (NAc) in vivo and in vitro.
3,12900932 | l-histidine | This finding was supported by the elevated l-histidine decarboxylase and reduced monoamine oxidase type B expressions in the BA infants with severe fibrosis.
4,"2809587 | l-histidine | The pattern of MAOB expression generally matched the previously reported patterns of expression of the plasma 5-HT transporter expression or of the histamine biosynthetic enzyme L-histidine decarboxylase, suggesting a role for MAOB in fine regulation of the levels of 5-HT and histamine in the developing embryo."
5,"4997889 | l-histidine | The tissue immunoreactivity corresponded to authentic histamine or tele-methylhistamine, as shown by (a) the parallel 125I-tracer displacement curves, (b) the similar elution patterns from HPLC columns, (c) the regional levels of histamine and tele-methylhistamine in brain, similar to those obtained with other methods, and (d) the clearcut effects of treatments with inhibitors of L-histidine decarboxylase or monoamine oxidase."
6,"63382 | l-histidine | Upon the addition of histidine and histamine, the copper containing monoamine oxidase (MAO) catalyzes the oxidation of L-ascorbic acid (AsA) by dissolved oxygen, in which the consumed oxygen was finally converted to hydrogen peroxide, according to Michaelis-Menten kinetics (Km) = 1.97 mM, upon the addition of 5 x 10(-5) M L-histidine at 35 degrees C and pH 8.5)."
7,"10988329 | l-glutamate | Further examination of the protective action of flupirtine and retigabine against L-glutamate toxicity showed that it had no influence on monoamine oxidase (monoamine: oxygen oxidoreductase (deaminating), EC 1.4.3.4., MAO) activity."
8,"10988329 | l-glutamate | Thus, flupirtine and retigabine provided protection against cystine deprivation and L-glutamate toxicity but did not protect against L-glutamate under cystine-free conditions indicating that both compounds are sufficiently effective to compensate the oxidative stress elicited by cystine deprivation but not excessive activity of monoamine oxidase after L-glutamate treatment."
9,"11405259 | l-glutamate | In the present study, several dietary antioxidant compounds, monoamine oxidase inhibitors and ergogenic compounds were examined for protective action against neurotoxicity induced by L-glutamate (15 mM) or MPP+-HCl (5 mM) in a plastic adhering variant of murine pheochromocytoma cells."
10,"25061726 | cudraflavone a | Cudraflavone B is a prenylated flavone isolated from C. tricuspidata which has shown anti-proliferative activity, mouse brain monoamine oxidase (MAO) inhibitory effects, apoptotic actions in human gastric carcinoma cells and mouse melanoma cells, and hepatoprotective activity."
11,"17608532 | cudraflavone a | Cudratricusxanthone A (7), cudraflavanone A (10), and cudraflavone B (11) showed moderate inhibitory effects on mouse brain monoamine oxidase (MAO) with IC50 values of 88.3, 89.7, and 80.0 microM, respectively."
12,"9091408 | globulin | A1C = hemoglobin A1c AACE = American Association of Clinical Endocrinologists ACE = American College of Endocrinology ACSM = American College of Sports Medicine ADA = American Diabetes Association ADAPT = Arthritis, Diet, and Activity Promotion Trial ADHD = attention-deficit hyperactivity disorder AHA = American Heart Association AHEAD = Action for Health in Diabetes AHI = apnea-hypopnea index ALT = alanine aminotransferase AMA = American Medical Association ARB = angiotensin receptor blocker ART = assisted reproductive technology AUC = area under the curve BDI = Beck Depression Inventory BED = binge eating disorder BEL = best evidence level BLOOM = Behavioral Modification and Lorcaserin for Overweight and Obesity Management BLOSSOM = Behavioral Modification and Lorcaserin Second Study for Obesity Management BMI = body mass index BP = blood pressure C-SSRS = Columbia Suicidality Severity Rating Scale CAD = coronary artery disease CARDIA = Coronary Artery Risk Development in Young Adults CBT = cognitive behavioral therapy CCO = Consensus Conference on Obesity CHF = congestive heart failure CHO = carbohydrate CI = confidence interval COR-I = Contrave Obesity Research I CPG = clinical practice guideline CV = cardiovascular CVD = cardiovascular disease DASH = Dietary Approaches to Stop Hypertension DBP = diastolic blood pressure DEXA = dual-energy X-ray absorptiometry DPP = Diabetes Prevention Program DSE = diabetes support and education EL = evidence level ED = erectile dysfunction ER = extended release EWL = excess weight loss FDA = Food and Drug Administration FDG = 18F-fluorodeoxyglucose GABA = gamma-aminobutyric acid GERD = gastroesophageal reflux disease GI = gastrointestinal GLP-1 = glucagon-like peptide 1 HADS = Hospital Anxiety and Depression Scale HDL-c = high-density lipoprotein cholesterol HR = hazard ratio HTN = hypertension HUNT = Nord-Trndelag Health Study ICSI = intracytoplasmic sperm injection IFG = impaired fasting glucose IGT = impaired glucose tolerance ILI = intensive lifestyle intervention IVF = in vitro fertilization LAGB = laparoscopic adjustable gastric banding LDL-c = low-density lipoprotein cholesterol LES = lower esophageal sphincter LSG = laparoscopic sleeve gastrectomy LV = left ventricle LVH = left ventricular hypertrophy LVBG = laparoscopic vertical banded gastroplasty MACE = major adverse cardiovascular events MAOI = monoamine oxidase inhibitor MI = myocardial infarction MNRCT = meta-analysis of non-randomized prospective or case-controlled trials MRI = magnetic resonance imaging MUFA = monounsaturated fatty acid NAFLD = nonalcoholic fatty liver disease NASH = nonalcoholic steatohepatitis NES = night eating syndrome NHANES = National Health and Nutrition Examination Surveys NHLBI = National Heart, Lung, and Blood Institute NHS = Nurses' Health Study NICE = National Institute for Health and Care Excellence OA = osteoarthritis OGTT = oral glucose tolerance test OR = odds ratio OSA = obstructive sleep apnea PHQ-9 = Patient Health Questionnaire PCOS = polycystic ovary syndrome PCP = primary care physician POMC = pro-opiomelanocortin POWER = Practice-Based Opportunities for Weight Reduction PPI = proton pump inhibitor PRIDE = Program to Reduce Incontinence by Diet and Exercise PSA = prostate specific antigen QOL = quality of life RA = receptor agonist RCT = randomized controlled trial ROC = receiver operator characteristic RR = relative risk RYGB = Roux-en-Y gastric bypass SAD = sagittal abdominal diameter SBP = systolic blood pressure SCOUT = Sibutramine Cardiovascular Outcome Trial SG = sleeve gastrectomy SHBG = sex hormonebinding globulin SIEDY = Structured Interview on Erectile Dysfunction SNRI = serotonin-norepinephrine reuptake inhibitors SOS = Swedish Obese Subjects SS = surveillance study SSRI = selective serotonin reuptake inhibitors STORM = Sibutramine Trial on Obesity Reduction and Maintenance TCA = tricyclic antidepressant TONE = Trial of Nonpharmacologic Intervention in the Elderly TOS = The Obesity Society T2DM = type 2 diabetes mellitus UKPDS = United Kingdom Prospective Diabetes Study U.S = United States VAT = visceral adipose tissue VLDL = very low-density lipoprotein WC = waist circumference WHO = World Health Organization WHR = waist-hip ratio WHtR = waist-to-height ratio WMD = weighted mean difference WOMAC = Western Ontario and McMaster Universities osteoarthritis index XENDOS = XEnical in the Prevention of Diabetes in Obese Subjects."
13,"15778090 | dihydroxyacetone | The data indicate that a rapid intracellular degradation of L-3,4-dihydroxyphenylalanine and tyramine (at 100 and 200 microM concentrations) is accompanied by 25-40% decrease in glucose production from pyruvate, alanine + glycerol + octanoate and dihydroxyacetone due to augmented generation of hydrogen peroxide via monoamine oxidase B, resulting in a decline of glutathione redox state by 40%."
14,"7971723 | n-acetyl-l-cysteine | In addition, 4'-IAPP treatment significantly increases intracellular reactive oxygen species (ROS) and decreases glutathione (GSH) levels in SH-SY5Y cells, and cell death is significantly attenuated by the common antioxidants alpha-tocopherol, N-acetyl-l-cysteine and GSH, but not by the nonspecific caspase inhibitor N-benzyloxycarbonyl-Val-Ala-Asp-fluoromethyl ketone."
15,"22983620 | n-acetyl-l-cysteine | Furthermore, a monoamine oxidase inhibitor, pargyline, and antioxidants, N-acetyl-L-cysteine and glutathione, also did not affect the DA-induced expression of EC-SOD mRNA."
16,"2491914 | n,n-dimethylbenzylamine | Inhibition of the FAD-containing dimethylaniline monooxygenase (FDMAM, EC 1.14.13.8) by N,N-dimethylbenzylamine (N,N-DMB) resulted in some increase in cyclophosphamide mutagenicity only in spermatids."
17,"8589074 | n,n-dimethylbenzylamine | Support for this conclusion also comes from the observation that para-substituted N,N-dimethylbenzylamine analogues are competitive inhibitors and not substrates for monoamine oxidase B while the meta-substituted analogues are substrates, albeit poor ones."
18,27366756 | palmitate | Lower Maob expression was found in islets from db/db versus WT mice and in MIN6 -cells in response to palmitate and oleate treatment compared to vehicle.
19,"17077534 | sarsasapogenin | Moreover, sarsasapogenin showed a monoamine oxidase inhibitory activity in the mouse brain."
20,17077534 | sarsasapogenin | These findings suggest that the antidepressant activity of sarsasapogenin may involve the central monoaminergic neurotransmitter systems.
21,"8721213 | n-methyltyramine | Given orally, both substances influence the monoamine oxidase type A (MAO-A): N-methyltyramine acts as a competitive substrate, and 2-Me THBC is one of the most effective MAO-A-inhibitors."
