,0
0,"17608532 | cudraflavone a | Cudratricusxanthone A (7), cudraflavanone A (10), and cudraflavone B (11) showed moderate inhibitory effects on mouse brain monoamine oxidase (MAO) with IC50 values of 88.3, 89.7, and 80.0 microM, respectively."
1,"21919844 | ginseng | Furthermore, ginseng reduced the blood levels of warfarin and alcohol as well as induced mania if taken concomitantly with phenelzine, a non-selective and irreversible monoamine oxidase inhibitor used as an antidepressant and anxiolytic agent."
2,23789395 | ringed seal | The goal of the work consisted in study of substrate and inhibitor specificity of liver monoamine oxidase (MAO) of the freshwater Ladoga subspecies of the ringed seal Phoca hispida ladogensis.
3,"11714358 | isoquercitrin | The IC(50) values of the four potent flavonoids, quercitrin, isoquercitrin, rutin, and quercetin on monoamine oxidase were 19.06, 11.64, 3.89, and 10.89 microM and enzyme kinetics analysis revealed apparent inhibition constants (K(i)) of 21.01, 2.72, 1.83, and 7.95 microM, respectively, on the substrate, benzylamine."
4,"1913999 | licocoumarone | Among the twelve licorice constituents examined for the inhibition of monoamine oxidase (MAO), six compounds, 3, 4, genistein (6), licopyranocoumarin (7), licocoumarone (14) and glycyrrhisoflavone (15), inhibited the enzyme with the IC50 (concentration required for 50% inhibition of the enzyme activity) values of 6.0 x 10(-5)-1.4 x 10(-4) M. Glycyrrhizin (1) also inhibited MAO with the IC50 value of 1.6 x 10(-4) M."
5,16443316 | liquorice | Monoamine oxidase inhibiting effect of liquorice may be contributing favorably to the antidepressant-like activity.
6,"12866711 | dicoumarol | We suggest that DT-diaphorase plays a neuroprotective role in dopaminergic neurons, which is supported by the following observations: (i) Cu-toxicity is dependent on DT-diaphorase inhibition with dicoumarol in RCSN-3 cells derived from the rat substantia nigra; (ii) the cytotoxic effect of monoamine oxidase-A inhibitor amiflamine in RCSN-3 cells is increased by 2.4-fold (p < 0.001) in the presence of the inhibitor of DT-diaphorase, dicoumarol; (iii) concomitant intracerebral administration of manganese (Mn3+) together with the DT-diaphorase inhibitor dicoumarol into the left medial forebrain bundle produced a behavioral pattern characterized by contralateral rotational behavior when the rats were stimulated with apomorphine, in a manner similar to that observed in animals injected unilaterally with 6-hydroxydopamine; (iv) incubation of RCSN-3 cells with salsolinol in the presence of DT-diaphorase inhibitor significantly decreased cell survival by 2.5-fold (p < 0.001)."
7,"15778090 | dihydroxyacetone | The data indicate that a rapid intracellular degradation of L-3,4-dihydroxyphenylalanine and tyramine (at 100 and 200 microM concentrations) is accompanied by 25-40% decrease in glucose production from pyruvate, alanine + glycerol + octanoate and dihydroxyacetone due to augmented generation of hydrogen peroxide via monoamine oxidase B, resulting in a decline of glutathione redox state by 40%."
8,"8821050 | alpha-tocopherolquinone | The effects of unspecific doses of the irreversible monoamine oxidase inhibitor selegiline on alpha-tocopherol, alpha-tocopherolquinone, ubiquinol and ubiquinone were studied in frontal cortex, hippocampus and striatum of male C57BL/6 mice 4 h and 96 h after a single or six injections of selegiline (100 mg/kg body weight, i.p."
9,"19969454 | dock | Using in silico modelling, we propose a structural basis of such activity by showing that these compounds can successfully dock into the inhibitor binding pockets of human monoamine oxidase isoforms with predicted affinities comparable to some known inhibitors."
10,26856071 | oncorhynchus | The substrate and inhibitory specificity of mitochondrial monoamine oxidase (MAO) in the liver of males of the summer form of the chum salmon Oncorhynchus keta was studied.
11,"8466551 | 2-hydroxyphenylacetic acid | The effects of the administration of selective and non-selective inhibitors of monoamine oxidase (MAO) on the concentrations of three trace acid metabolites [phenylacetic acid (PAA); m-hydroxyphenylacetic acid (mHPAA); and p-hydroxyphenylacetic acid (pHPAA)] and of an acid metabolite of dopamine [3,4-dihydroxyphenylacetic acid (DOPAC)] in the rat striatum were determined."
12,"21371861 | quercetin 3-glucuronide | The effect of quercetin and its antioxidative metabolite quercetin 3-glucuronide (Q3GA) on the activity of mouse brain mitochondrial monoamine oxidase-A (MAO-A) was evaluated by measuring the deamination product of serotonin, 5-hydroxyindole acetaldehyde (5-HIAL)."
13,"1913999 | licopyranocoumarin | Among the twelve licorice constituents examined for the inhibition of monoamine oxidase (MAO), six compounds, 3, 4, genistein (6), licopyranocoumarin (7), licocoumarone (14) and glycyrrhisoflavone (15), inhibited the enzyme with the IC50 (concentration required for 50% inhibition of the enzyme activity) values of 6.0 x 10(-5)-1.4 x 10(-4) M. Glycyrrhizin (1) also inhibited MAO with the IC50 value of 1.6 x 10(-4) M."
14,"312499 | 5-hydroxytryptophol | The first three compounds were previously reported to be major metabolites produced from 5-hydroxytryptophan by the action of aromatic L-amino acid decarboxylase and monoamine oxidase, whereas the last three are formed by the cleavage of the indole ring by the action of indoleamine 2,3-dioxygenase."
15,11600577 | 5-hydroxytryptophol | The type A monoamine oxidase (MAO) inhibitor clorgyline (10(-6) M) suppressed the metabolism of 5-HT into 5-hydroxytryptophol.
16,"21843599 | asparagus | Asparagus racemosus (AR) has earlier been reported to possess antidepressant activity possibly mediated through the monoaminergic system, and nootropic and anti amnestic activities possibly through the cholinergic system."
17,"15516704 | selenite | The activity of superoxide dismutase, catalase, glutathione peroxidase, glutathione-S-transferase, and monoamine oxidase (MAO-A and MAO-B) was depleted significantly; conversely, the activity of poly(ADP-ribosyl) polymerase was elevated significantly as compared to the sham, and the pretreatment of the animals with different doses of sodium selenite has protected the activity of these enzymes significantly."
18,12009254 | selenite | Selenite also induced other mitochondrial marker enzymes including monoamine oxidase (MAO) and mitochondria aspartate aminotransferase (mAST).
19,21938908 | whitefish | Study of substrate-inhibitory specificity of liver mitochondrial monoamine oxidase (MAO) of sexually mature individuals of the whitefish Coregonus lavaretus ludoga P. from the Ladoga Lake has revealed distinguished peculiarities of catalytical properties of this enzyme.
20,21469337 | whitefish | There is performed a comparative analysis of action of four acridine derivatives and of one xanthene derivative (pyronine G) on activity of liver monoamine oxidase (MAO) of two species of poikilothermal freshwater animals: a representative of amphibians--the common frog Rana temnporaria and a representative of the order Salmonidae--the European whitefish Coregonus lavaretus.
21,"402175 | pentylamine | The effects of a series of inhibitors of monoamine oxidase (EC 1.4.3.4) and diamine oxidase (EC 1.4.3.6) and of two chelating agents were studied in rats, with respect to the catabolism of labeled pentylamine and putrescine to radioactive carbon dioxide."
22,"16828740 | epsilon-viniferin | On the other hand, epsilon-viniferin (5-200 microM) concentration-dependently inhibited the enzymatic activity of commercial (human recombinant) monoamine oxidase (MAO) isoform (MAO-A and MAO-B) activity, being slightly but significantly more selective against MAO-B than against MAO-A."
23,25483788 | ferulic acid | The subsequent study suggested that monoamine oxidase A (MAO-A) activity was inhibited in the frontal cortex and hippocampus when treatment with 40 and 80 mg/kg ferulic acid; while MAO-B activity did not change significantly.
24,26592858 | ferulic acid | Ferulic acid has structural similarity with curcumin which is being reported for its monoamine oxidase (MAO) inhibitory activity.
25,"10988329 | l-glutamate | Further examination of the protective action of flupirtine and retigabine against L-glutamate toxicity showed that it had no influence on monoamine oxidase (monoamine: oxygen oxidoreductase (deaminating), EC 1.4.3.4., MAO) activity."
26,"10988329 | l-glutamate | Thus, flupirtine and retigabine provided protection against cystine deprivation and L-glutamate toxicity but did not protect against L-glutamate under cystine-free conditions indicating that both compounds are sufficiently effective to compensate the oxidative stress elicited by cystine deprivation but not excessive activity of monoamine oxidase after L-glutamate treatment."
27,"11405259 | l-glutamate | In the present study, several dietary antioxidant compounds, monoamine oxidase inhibitors and ergogenic compounds were examined for protective action against neurotoxicity induced by L-glutamate (15 mM) or MPP+-HCl (5 mM) in a plastic adhering variant of murine pheochromocytoma cells."
28,"8466551 | 4-hydroxyphenylacetic acid | The effects of the administration of selective and non-selective inhibitors of monoamine oxidase (MAO) on the concentrations of three trace acid metabolites [phenylacetic acid (PAA); m-hydroxyphenylacetic acid (mHPAA); and p-hydroxyphenylacetic acid (pHPAA)] and of an acid metabolite of dopamine [3,4-dihydroxyphenylacetic acid (DOPAC)] in the rat striatum were determined."
