,0
0,"7186027 | safflower | When safflower oil (triglyceride) was consumed without pancreatic enzymes by children with cystic fibrosis (CF), there was no rise in mean plasma linoleic acid levels over the next 4 h. When linoleic acid monoglyceride (LAM) was consumed, the increase in plasma linoleic acid levels was significantly greater than for safflower oil at 2 (p less than 0.02), 3 (p less than 0.01), and 4 h (p less than 0.01)."
1,"7186027 | safflower | When free fatty acid (hydrolyzed safflower oil) was ingested, there was almost no increase in plasma linoleic acid levels in CF or control children."
2,"7186027 | safflower | Three children with CF had greater increases in plasma linoleic acid levels following ingestion of safflower oil when they took antacid and cimetidine with their pancreatic capsules, compared to when they only took the pancreatic capsules."
3,"15364435 | concanavalin a | Two weeks later (day 28), concanavalin A (Con A)-, pokeweed (PWM)- and OVA-stimulated splenocyte proliferation and OVA-specific antibodies in serum were measured."
4,"16214270 | concanavalin a | Two weeks later (Day 28), concanavalin A (Con A)-, lipopolysaccharide (LPS)- and OVA-stimulated splenocyte proliferation and OVA-specific antibodies in serum were measured."
5,"27287102 | lotus | The experiment was conducted by infiltrating precursors - titanium (IV) n-butoxide (TnBT) and acetic acid calcium solution - into the lotus root template under vacuum system, followed by calcination."
6,"21190796 | opc | In the industrial contaminated soil, the Zn decrease in the leachates was most elevated, showing >2500 g/l in the leachates of contaminated soil and 76-173 g/l in the OPC experiment."
7,18656648 | hydroxylamine | Rapid off-line pre-reduction of the analytes was achieved by using hydroxylamine hydrochloride for selenium and a mixture of potassium iodide and ascorbic acid for arsenic and bismuth.
8,"17294965 | hydroxylamine | Selective extraction methods were employed to estimate the contributions of Fe/Mn oxides, where hydroxylamine hydrochloride (0.01 mol/L NH2OH x HCl + 0.01 mol/L HNO3), sodium dithionite (0.4 mol/L Na2S2O4) and nitric acid (10% HNO3) were used as extraction reagents."
9,"11150716 | hydroxylamine | Peptide 2 was derivatized with the bifunctional isothiocyanates of cyclohexyl-B diethylenetriaminepentaacetic acid (DTPA) or CHX-A"" DTPA by direct conjugation or with a hydroxylamine derivative of 1B4M-DTPA (2-(p-[O-(carboxamylmethyl)hydroxylamine]benzyl)-6-methyl-diethylenetriamine-N,N,N',N"",N""-pentaacetic acid ) coupled at the N-terminus."
