,0
0,"6112205 | n-nitrosodimethylamine | Three antihistamines (diphenhydramine hydrochloride, methapyrilene hydrochloride, doxylamine succinate) and three commercial cough syrups have been analysed by GLC-TEA for N-nitrosodimethylamine (NDMA)."
1,"6112205 | n-nitrosodimethylamine | Levels of 0.22-3.6 micrograms/kg N-nitrosodimethylamine and, unexpectedly, 0.35-2.7 micrograms/kg N-nitrosodiethylamine were found in the antihistamine drug samples."
2,"8779831 | inosine | Neither the H1, Tx, nor LT antagonist alone had a significant effect on the vasomotor response to inosine."
3,"12087249 | allium | The active product in Mederma, allium cepa, has as its derivative quercetin, a bioflavonoid noted for its antiproliferative effects on both normal and malignant cells, and its antihistamine release effects."
4,"18435907 | protoporphyrin | Interestingly, the effects of tranilast on LPS-induced PGE(2), NO, TNF-alpha, and IL-1beta production were partially reversed by the HO-1 inhibitor tin protoporphyrin, suggesting that tranilast-induced HO-1 expression is at least partly responsible for the resulting anti-inflammatory effects of the drug."
5,"14480419 | flavones | An attempt has been made to elucidate the ways in which certain hydroxybenzoates, pyrazolones, sympathomimetic amines, flavone and flavanone glycosides, local anaesthetics, antihistamines and anti-5-hydroxytryptamine substances produce their anti-inflammatory effect."
6,"25346784 | ergocalciferol | For patients with 25(OH)D concentrations < 30 ng/ml, treatment included 20,000 IU/day of ergocalciferol (vitamin D2) and non-sedative antihistamine drugs for 6 weeks."
7,"6380227 | decanoate | Three novel diphenylmethane derivatives, N,N-diethyl-2-[4-(phenylmethyl)phenoxy]ethanamine.HCI (DPPE), 4-decanoyl-DPPE (dec-DPPE), and 4-benzylphenyl decanoate (BPD) were studied in an attempt to determine whether PKC or histamine interactions best correlate with their antiproliferative effects."
8,10457797 | hibiscus sabbariffa | The antihypertensive effect of aqueous extracts of the calyx of Hibiscus sabdariffa (HS) has been investigated in anaesthetized rats.
9,"22382656 | ginseng | To understand the role of intestinal microflora in the pharmacological effect of ginsenoside Re, which is a main constituent of ginseng, we investigated its anti-scratching behavioral effect in the mice treated with or without antibiotics."
10,"4404971 | ginseng | The antipruritic and vascular permeability-inhibitory effects of ginsenoside Rb1, a main component of ginseng frequently used as a traditional medicine in Asian countries, and its metabolite compound K by intestinal microflora were investigated in scratching behavior animal models induced by compound 48/80, substance P, and histamine."
