,0
0,"19033396 | methoxyl | Concentration dependent, competitive TTR-binding curves with each of the natural TTR ligands 3,5,3'-triiodothyronine (T(3)) and thyroxine (T(4)) were generated as well as by treatment with a range of concentrations (10(-3)-10(5)nM) of 2,2',3,4',5,5',6-heptaCB (CB187), 2,2',4,4'-tetrabromoDE (BDE47), and hydroxyl- (OH) and methoxyl (MeO)-containing analogs (i.e., 4-OH-CB187, 6-OH-BDE47, 4'-OH-BDE49, 4-MeO-CB187, and 6-MeO-BDE47)."
1,7086671 | catechols | The effects of chronic treatment with thyroxine (T4) and estradiol on hepatic microsomal metabolism of estrogens to catechol products were studied and the extent to which activity in vitro correlated with serum estradiol concentrations in vivo was assessed.
2,3117986 | safflower | Loss of radioiodine from the whole animal and thyroid gland was slower when mice were fed the toxic palmitoyl glycerol diet than when fed the same diet containing 4% safflower oil.
3,"474749 | black bear | During winter sleep the black bear has decreased levels of serum total and free thyroxine (T4) and triiodothyronine (T3) and a prolonged, delayed response of serum thyrotropin (TSH) (bioassay) to thyrotropin-releasing hormone (TRH)."
4,15193079 | black bear | The recommended canine dosage of levothyroxine may be too high for the treatment of hypothyroidism in American black bears; 0.011 mg/kg p.o.
5,8455465 | black bear | This is possibly analogous to such diverse conditions as fetal thyroid function and black bear hibernation.
6,"17651757 | kale | Other plants with hypothyroid effects include pearl millet (Pennisetum glaucum) and fonio millet (Digitaria exilis); thiocyanate is found in Brassicae plants including cabbage, cauliflower, kale, rutabaga, and kohlrabi, as well as in tropical plants such as cassava, lima beans, linseed, bamboo shoots, and sweet potatoes."
7,"19105977 | stigmasterol | Stigmasterol, isolated from the bark of Butea monosperma was evaluated for its thyroid hormone and glucose regulatory efficacy in mice."
8,11783267 | ginseng | To observe the effect of Ginseng injection on congestive heart failure (CHF) and its influence on thyroid hormones.
9,"24467543 | ginseng | In acutely treated mice, serum thyroxin levels were reduced by red and American ginseng, and the serum prostaglandin E2 level was reduced by American ginseng."
10,"24467543 | ginseng | In chronically treated mice, red and white ginseng reduced thyroxin levels."
11,27498528 | uranium | Depleted uranium radiation and pollution with polychlorinated biphenyls resulting from bombings the territories of Serbia as well as the additional long-term stress may have affected the function of thyroid gland.
12,6409582 | fe2+ | Thyroxine inhibitory action was observed during in vitro Fe2+ induced lipid peroxidation of rat liver mitochondrial inner membrane particles.
13,21786649 | abramis brama | An experiment on acceleration and retardation of ontogenesis with thyroid manipulation has revealed direct changes in definitive dentition of pharyngeal bones in Abramis brama bream.
14,1732077 | hydroxylamine | We investigated the pathogenesis of thyroid toxicity using the hydroxylamine metabolite of sulfamethoxazole as a model.
15,"1732077 | hydroxylamine | The hydroxyalmine was toxic to thyroid cells in vitro, which did or did not express thyroid peroxidase activity, whereas the parent sulfonamide was toxic only to cells with active thyroid peroxidase."
16,1732077 | hydroxylamine | The purified enzyme converted sulfamethoxazole to the hydroxylamine.
17,"21782644 | hydroxylamine | The effect of l-tri-iodothyronine (T(3)) was, therefore, studied on nitrite and monoacetyldapsone hydroxylamine (MADDS-NHOH) mediated methaemoglobin formation in diabetic and non-diabetic human erythrocytes."
