,0
0,"3856221 | n-nitrosodimethylamine | The dialkylnitrosamines N-nitrosodiethylamine, N-nitrosodimethylamine, and N-nitrosodibenzylamine were tested and found not to be substrates, competitive inhibitors, or irreversible inhibitors of liver monoamine oxidase."
1,"21919844 | ginseng | Furthermore, ginseng reduced the blood levels of warfarin and alcohol as well as induced mania if taken concomitantly with phenelzine, a non-selective and irreversible monoamine oxidase inhibitor used as an antidepressant and anxiolytic agent."
2,23789395 | ringed seal | The goal of the work consisted in study of substrate and inhibitor specificity of liver monoamine oxidase (MAO) of the freshwater Ladoga subspecies of the ringed seal Phoca hispida ladogensis.
3,"11714358 | isoquercitrin | The IC(50) values of the four potent flavonoids, quercitrin, isoquercitrin, rutin, and quercetin on monoamine oxidase were 19.06, 11.64, 3.89, and 10.89 microM and enzyme kinetics analysis revealed apparent inhibition constants (K(i)) of 21.01, 2.72, 1.83, and 7.95 microM, respectively, on the substrate, benzylamine."
4,"18064621 | gentisin | Gentisin and isogentisin are xanthones showing potent inhibition of monoamine oxidase type A and B, amarogentin represents one of the bitter principles of Gentiana, responsible for its gastric-roborant effects."
5,"23553958 | ellagic acid | This study was aimed to evaluate the effect of curcumin and ellagic acid on the activity of monoamine oxidase (MAO), the enzyme responsible for metabolism of monoamine neurotransmitters which are pivotal for neuronal development and function."
6,"28238669 | ellagic acid | Furthermore, ellagic acid reduced striatal malondialdehyde (MDA), reactive oxygen species (ROS), and DNA fragmentation, and improved monoamine oxidase B (MAO-B), nuclear factor (erythroid-derived 2)-like 2 (Nrf2), and heme oxygenase 1 (HO-1)."
7,18539264 | decanoate | The aim of the present study was to investigate whether the same dose regimen of nandrolone decanoate may affect the activities of the dopamine-metabolizing enzymes monoamine oxidases A and B (MAO-A and MAO-B).
8,"220158 | beta-galactosidase | Eschscholtzia californica stigmas with germinating pollen at different stages of development were the subject of histochemical studies which aimed the localization of several enzymes like phosphorylase, leucine amino peptidase, nonspecific esterase, cytochrome oxidase, aldolase, alpha-glycerophosphate dehydrogenase, succinate dehydrogenase, malate dehydrogenase, monoamine oxidase, alpha-galactosidase, beta-glucosidase and beta-galactosidase."
9,4376143 | beta-galactosidase | Lysosomes with a modal density of 1.16 were identified by the distribution of these acid hydrolases and by the latency of N-acetyl-beta-glucosaminidase and beta-galactosidase.
10,"2815117 | beta-galactosidase | In rats receiving a protein-poor diet for 60 days (4% caloric share of casein) the activity of beta-galactosidase, beta-N-acetyl glucose aminidase, acid proteinases, acid phosphatase, acetyl estherase, catalase, glutathione reductase, monoamine oxidase (MAO), glucose-6-phosphate dehydrogenase, and the content of malonic dialdehyde (MDA) were measured in the oral cavity mucosa."
11,16443316 | liquorice | Monoamine oxidase inhibiting effect of liquorice may be contributing favorably to the antidepressant-like activity.
