,0
0,"27775703 | mevalonate-5-phosphate | Specific reduction of mevalonate-5-phosphate by statins or mevalonate kinase knockdown induces CHIP ubiquitin ligase-mediated nuclear export, ubiquitylation, and degradation of mutp53 by impairing interaction of mutp53 with DNAJA1, a Hsp40 family member."
1,"6462147 | stigmasterol | Statins were, however, highly phytotoxic to L. gibba and HPLC-UV analysis of plant extracts showed significantly decreased concentrations of both stigmasterol and beta-sitosterol, which are critical components of plant membranes and regulate morphogenesis and development."
2,"20691321 | cheese | The risk reduction associated with the daily consumption of most statins, with the exception of pravastatin, is more powerful than the risk increase caused by the daily extra fat intake associated with a 7-oz hamburger (Quarter Pounder) with cheese and a small milkshake."
3,"20451441 | hydroxylamine | The method is based on the reaction of simvastatin or lovastatin with hydroxylamine in alkaline medium to form the corresponding hydroxamic acid derivatives which, on treatment with ferric ion in acid medium, yield highly colored ferric-chelate complex with maximum absorption at 513nm."
4,11576603 | glutaric acid | HMG-CoA = hydroxymethyl glutaric acid CoA LDL = low-density lipoprotein LDL-C = low-density-lipoprotein cholesterol FSH = follicle-stimulating hormone LH = luteinizing hormone.
5,"21540247 | guava | Cell cycle arrest at the G1 phase, manifested by a geranylgeraniol-induced increase in the G1/S ratio and decreased expression of cyclin D1 and cyclin-dependent kinase 4, apoptosis detected by Guava Nexin assay and fluorescence microscopy following acridine orange and ethidium bromide dual staining, and cell differentiation shown by increased alkaline phosphatase activity, contributed to the growth suppression."
6,"24947972 | ampicillin | The plasma concentration-time profiles of M8 were compared after oral administration of lovastatin to control rats or those treated with either ampicillin (100 mg/kg) or an antibiotic mixture consisting of cefadroxil (150 mg/kg), oxytetracycline (300 mg/kg), and erythromycin (300 mg/kg)."
7,27341998 | 5-oxoproline | 3-Hydroxy-3-methyl-glutaryl-CoA reductase inhibitors inhibited the SLC16A1-specific transport of 5-oxoproline.
8,"10374838 | l-ascorbic acid | Hydroxymethyl-glutaryl-CoA-reductase (HMG-CoA-reductase), the key enzyme for cholesterol synthesis and essential for the synthesis of the precursor for p21ras farnesylation, was inhibited in neuroblastoma cells by lovastatin or L-ascorbic acid."
9,"10374838 | l-ascorbic acid | However, while the addition of mevalonate, the product of HMG-CoA-reductase, circumvented the inhibition by lovastatin it had no reversing effect on the inhibition by L-ascorbic acid."
10,"9681444 | cerebroside | We found that, during development of the rat sciatic nerve, expression of mRNA for hydroxymethylglutaryl-coenzyme A (HMG-CoA) reductase, the rate-limiting enzyme in cholesterol biosynthesis, was up-regulated in parallel with mRNA for P0, the major structural protein of PNS myelin, and with ceramide galactosyltransferase (CGT), the rate-limiting enzyme in cerebroside biosynthesis."
11,"16633091 | m. officinalis | Twenty hyperlipidemic rabbits were served one of the following diets: a high-fat and cholesterol diet (cholesterol group, 10% corn oil and 0.5% cholesterol), a high fat and cholesterol diet supplemented with M. officinalis extract (300 mg/kg) or lovastatin (6 mg/kg)."
12,"16633091 | m. officinalis | The plasma lipids, oxidative stress (measured by free radical, malondialdehyde, and oxidative DNA damage), and arterial lesions significantly decreased in the M. officinalis and lovastatin groups when compared with the cholesterol group."
13,"16633091 | m. officinalis | Moreover, the expressions of Fas ligand, caspase 8, and caspase 9 in the aortic arches were also markedly lowered after M. officinalis and lovastatin supplements."
14,"24180395 | benzoate | We herein review some promising compounds, such as melatonin, melatonin receptor agonists, allopregnanolone, PDE4 inhibitors, statins, aspirin, sodium benzoate, tryptophan-enriched diets, and antioxidants, including epigallocatechin gallate, curcumin, quercitin, alpha-lipoic acid and resveratrol."
15,"19418204 | leukotriene b4 | Lovastatin decreased inflammatory markers, specifically 13-HODE, 12-HETE and leukotriene B4."
16,"22813432 | stearate | A scalable parameter; travelling roll distance per shot (D(pS)), has been defined which ensures that an equal amount of magnesium stearate is applied to the roll surface per rotation at any roll speed."
